cell,dataset,regime,beta,tag,nu,group,model,n_seeds,rare_mean,rare_std,overall_mean,overall_std,most_biased_users,p_over_r
imdb_beta1.00_const,imdbwiki,infeasible,1.0,const,0.6980443093814331,tier1,fedavg,5,99.46588,0.43291293073781256,102.5846,0.6029336945303367,,
imdb_beta1.00_const,imdbwiki,infeasible,1.0,const,0.6980443093814331,tier1,full,5,72.4865,0.0,83.0686,0.0,,
imdb_beta1.00_const,imdbwiki,infeasible,1.0,const,0.6980443093814331,most_biased,fedavot,5,418.546384,19.102007525376983,nan,nan,0,64.70600986184296
imdb_beta1.00_const,imdbwiki,infeasible,1.0,const,0.6980443093814331,most_biased,fedavg,5,395.012634,6.857707277564646,nan,nan,0,64.70600986184296
imdb_beta1.00_const,imdbwiki,infeasible,1.0,const,0.6980443093814331,most_biased,full,5,224.55,0.0,nan,nan,0,64.70600986184296
imdb_beta1.00_decay1000,imdbwiki,infeasible,1.0,decay1000,0.6980443093814331,tier1,fedavot,5,96.50984,0.9811343977254081,97.88268000000001,0.6999385898777116,,
imdb_beta1.00_decay1000,imdbwiki,infeasible,1.0,decay1000,0.6980443093814331,tier1,fedavg,5,96.65068,0.3778270683791741,99.93326,0.47325826184019415,,
imdb_beta1.00_decay1000,imdbwiki,infeasible,1.0,decay1000,0.6980443093814331,tier1,full,5,72.2286,0.0,82.9485,0.0,,
imdb_beta1.00_decay1000,imdbwiki,infeasible,1.0,decay1000,0.6980443093814331,most_biased,fedavot,5,411.8937484,15.001235687855706,nan,nan,0,64.70600986184296
imdb_beta1.00_decay1000,imdbwiki,infeasible,1.0,decay1000,0.6980443093814331,most_biased,fedavg,5,384.4428676,6.467553863910699,nan,nan,0,64.70600986184296
imdb_beta1.00_decay1000,imdbwiki,infeasible,1.0,decay1000,0.6980443093814331,most_biased,full,5,218.549834,0.0,nan,nan,0,64.70600986184296
imdb_beta1.50_const,imdbwiki,infeasible,1.5,const,0.7713077149299089,tier1,fedavot,5,108.774,1.3516666748869701,109.5874,1.163963160929075,,
imdb_beta1.50_const,imdbwiki,infeasible,1.5,const,0.7713077149299089,tier1,fedavg,5,101.0606,0.6564603872283538,104.3274,0.33936741151737143,,
imdb_beta1.50_const,imdbwiki,infeasible,1.5,const,0.7713077149299089,tier1,full,5,72.4865,0.0,83.0686,0.0,,
imdb_beta1.50_const,imdbwiki,infeasible,1.5,const,0.7713077149299089,most_biased,fedavot,5,454.8498316,20.936217714738433,nan,nan,0,466.80764257472424
imdb_beta1.50_const,imdbwiki,infeasible,1.5,const,0.7713077149299089,most_biased,fedavg,5,399.33958,5.257776660930522,nan,nan,0,466.80764257472424
imdb_beta1.50_const,imdbwiki,infeasible,1.5,const,0.7713077149299089,most_biased,full,5,224.55,0.0,nan,nan,0,466.80764257472424
imdb_beta1.50_decay1000,imdbwiki,infeasible,1.5,decay1000,0.7713077149299089,tier1,fedavot,5,100.32838,1.2821372694060502,101.23828,1.130961039824094,,
imdb_beta1.50_decay1000,imdbwiki,infeasible,1.5,decay1000,0.7713077149299089,tier1,fedavg,5,98.38965999999999,0.5968561957456772,101.8136,0.3452023174893202,,
imdb_beta1.50_decay1000,imdbwiki,infeasible,1.5,decay1000,0.7713077149299089,tier1,full,5,72.2286,0.0,82.9485,0.0,,
imdb_beta1.50_decay1000,imdbwiki,infeasible,1.5,decay1000,0.7713077149299089,most_biased,fedavot,5,439.397614,18.947669653845715,nan,nan,0,466.80764257472424
imdb_beta1.50_decay1000,imdbwiki,infeasible,1.5,decay1000,0.7713077149299089,most_biased,fedavg,5,385.8889124,3.6191385389373427,nan,nan,0,466.80764257472424
imdb_beta1.50_decay1000,imdbwiki,infeasible,1.5,decay1000,0.7713077149299089,most_biased,full,5,218.549834,0.0,nan,nan,0,466.80764257472424
imdb_beta2.00_const,imdbwiki,infeasible,2.0,const,0.8195853347711008,tier1,fedavot,5,109.819,0.7019737886844482,111.64020000000001,1.1552636755303964,,
imdb_beta2.00_const,imdbwiki,infeasible,2.0,const,0.8195853347711008,tier1,fedavg,5,102.35,0.5704419339424477,106.1238,0.4176153253892843,,
imdb_beta2.00_const,imdbwiki,infeasible,2.0,const,0.8195853347711008,tier1,full,5,72.4865,0.0,83.0686,0.0,,
imdb_beta2.00_const,imdbwiki,infeasible,2.0,const,0.8195853347711008,most_biased,fedavot,5,460.2837104,4.806440575229271,nan,nan,0,3921.1841976276833
imdb_beta2.00_const,imdbwiki,infeasible,2.0,const,0.8195853347711008,most_biased,fedavg,5,396.5811876,11.717208344986023,nan,nan,0,3921.1841976276833
imdb_beta2.00_const,imdbwiki,infeasible,2.0,const,0.8195853347711008,most_biased,full,5,224.55,0.0,nan,nan,0,3921.1841976276833
imdb_beta2.00_decay1000,imdbwiki,infeasible,2.0,decay1000,0.8195853347711008,tier1,fedavot,5,101.72500000000001,0.5234520035304067,103.7648,0.9009262788930104,,
imdb_beta2.00_decay1000,imdbwiki,infeasible,2.0,decay1000,0.8195853347711008,tier1,fedavg,5,99.8199,0.5756684948822537,103.7374,0.3824701818442859,,
imdb_beta2.00_decay1000,imdbwiki,infeasible,2.0,decay1000,0.8195853347711008,tier1,full,5,72.2286,0.0,82.9485,0.0,,
imdb_beta2.00_decay1000,imdbwiki,infeasible,2.0,decay1000,0.8195853347711008,most_biased,fedavot,5,451.601462,2.9392737802429973,nan,nan,0,3921.1841976276833
imdb_beta2.00_decay1000,imdbwiki,infeasible,2.0,decay1000,0.8195853347711008,most_biased,fedavg,5,384.321768,10.254239010294006,nan,nan,0,3921.1841976276833
imdb_beta2.00_decay1000,imdbwiki,infeasible,2.0,decay1000,0.8195853347711008,most_biased,full,5,218.549834,0.0,nan,nan,0,3921.1841976276833
imdb_beta3.00_const,imdbwiki,infeasible,3.0,const,0.8771532202725223,tier1,fedavot,5,113.5236,0.7278457528899916,116.40480000000001,0.532946301234938,,
imdb_beta3.00_const,imdbwiki,infeasible,3.0,const,0.8771532202725223,tier1,fedavg,5,103.7784,0.868843967579912,108.4674,0.6747018897261239,,
imdb_beta3.00_const,imdbwiki,infeasible,3.0,const,0.8771532202725223,tier1,full,5,72.4865,0.0,83.0686,0.0,,
imdb_beta3.00_const,imdbwiki,infeasible,3.0,const,0.8771532202725223,most_biased,fedavot,5,470.2790216,8.606635183499248,nan,nan,0,3.9211841976276834e+298
imdb_beta3.00_const,imdbwiki,infeasible,3.0,const,0.8771532202725223,most_biased,fedavg,5,391.7904792,7.052710304553468,nan,nan,0,3.9211841976276834e+298
imdb_beta3.00_const,imdbwiki,infeasible,3.0,const,0.8771532202725223,most_biased,full,5,224.55,0.0,nan,nan,0,3.9211841976276834e+298
imdb_beta3.00_decay1000,imdbwiki,infeasible,3.0,decay1000,0.8771532202725223,tier1,fedavot,5,105.4824,0.6536627876818476,108.3978,0.35801083782477783,,
imdb_beta3.00_decay1000,imdbwiki,infeasible,3.0,decay1000,0.8771532202725223,tier1,fedavg,5,101.2602,0.7058825398038928,106.117,0.5386015224634986,,
imdb_beta3.00_decay1000,imdbwiki,infeasible,3.0,decay1000,0.8771532202725223,tier1,full,5,72.2286,0.0,82.9485,0.0,,
imdb_beta3.00_decay1000,imdbwiki,infeasible,3.0,decay1000,0.8771532202725223,most_biased,fedavot,5,456.8964624,5.672794963235019,nan,nan,0,3.9211841976276834e+298
imdb_beta3.00_decay1000,imdbwiki,infeasible,3.0,decay1000,0.8771532202725223,most_biased,fedavg,5,379.5924028,4.641284073333262,nan,nan,0,3.9211841976276834e+298
imdb_beta3.00_decay1000,imdbwiki,infeasible,3.0,decay1000,0.8771532202725223,most_biased,full,5,218.549834,0.0,nan,nan,0,3.9211841976276834e+298
imdb_feasible_const,imdbwiki,feasible,,const,0.0,tier1,fedavot,5,78.71716,1.1067403102806026,89.08436,0.5282476941738585,,
imdb_feasible_const,imdbwiki,feasible,,const,0.0,tier1,fedavg,5,83.26662,0.9467411713874091,89.50732,0.5522891757041786,,
imdb_feasible_const,imdbwiki,feasible,,const,0.0,tier1,full,5,72.4865,0.0,83.0686,0.0,,
